animeTitle	b'Tanuki to Kitsune'
animeType	b'ONA'
animeNumEpisode	18
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""The manga's story centers on the daily lives of a raccoon dog who is not quite with it and a mischievous fox who likes to tease the raccoon dog. The two are close friends who live together on a mountain. Their other friends include a wolf, a bear, a rabbit, and birds.\n\n(Source: ANN)"""
animeRelated	[b'Tanuki to Kitsune', b'Tanuki to Kitsune Specials', b'Toyo Suisan x Tanuki to Kitsune']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
