animeTitle	b'Line Offline: Salaryman'
animeType	b'TV'
animeNumEpisode	114
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	477
animeRank	
animePopularity	
animeDescription	"b""The anime shorts are set in the fictional Line Corporation with a motley crew of idiosyncratic workers. There is the narcissistic section head and president's son James, the subsection head Moon (who is always gone somewhere but somehow gets his work done), the quiet but kindhearted subsection head Brown, and the subordinate Connie who is in an endless loop of yo-yo diets and weight gains.\n\n(Source: ANN)"""
animeRelated	[b'Line Town', b'Line Rangers']
animeCharacters	[b'Moon', b'Jessica', b'Brown', b'Sally', b'Section Chief', b'James', b'Cony']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nKokuryu, Sachi\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nKazama, Yuuto\nJapanese\n', b'\nKanada, Aki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTagami, Kiminori\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nTanabe, Shigenori\n\nScript\n\n', b'\nYusa, Kazushige\n\nStoryboard\n\n']
