animeTitle	Chargeman Ken!
animeType	TV
animeNumEpisode	65
releaseDate	1974-04-01 00:00:00
endDate	1974-06-28 00:00:00
animeNumMembers	
animeScore	4.67
animeUsers	804
animeRank	
animePopularity	8338
animeDescription	Ken Izumi is a kid who can charge his powers from surrounding light sources and use them through a laser type gun. 
animeRelated	['Toumei Shounen Tantei Akira']
animeCharacters	['Izumi, Ken', 'Izumi, Caron', 'Barican', 'Volga', 'Hoshi', 'Jural Seijin', 'Izumi, Saori', 'Izumi, Hiro', 'Maou']
animeVoices	['Sawada, Kazuko']
animeStaff	[['Mogaki, Hiromichi', 'Producer'], ['Miura, Noboru', 'Episode Director'], ['Wakuda, Masaaki', 'Script, Series Composition'], ['Andou, Toyohiro', 'Script, Series Composition']]
