animeTitle	Sore Ike! Anpanman: Bokura wa Hero
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15337
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Osoujiman']
animeVoices	['Toda, Keiko']
animeStaff	[['Yanase, Takashi', 'Original Creator, Executive Producer'], ['Kondou, Hiroaki', 'Music'], ['Ikegami, Midori', 'Art Director']]
