animeTitle	Queen's Blade: Rebellion Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	2845
animeRank	
animePopularity	5653
animeDescription	Specials included in the Blu-ray/DVD volumes. Each special will be about a different character.
animeRelated	"[""Queen's Blade: Rebellion""]"
animeCharacters	['Aldra', 'Kreuz, Annelotte', 'Liliana', 'Sigui', 'Luna Luna', 'Branwen', 'Ymir', 'Mirim', 'Laila', 'Eilin']
animeVoices	['Taketatsu, Ayana', 'Endou, Aya', 'Itou, Shizuka', 'Kobayashi, Yuu', 'Sakurai, Harumi', 'Inoue, Kikuko', 'Saitou, Ayaka', 'Toyosaki, Aki', 'Satou, Satomi', 'Mimori, Suzuko']
animeStaff	[['Oda, Non', 'Original Character Design'], ['Koume, Keito', 'Original Character Design'], ['Ledford, John', 'Executive Producer'], ['Hobby Japan', 'Original Creator']]
