animeTitle	Paboo & Mojies
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15297
animeDescription	"Paboo is a fun loving and curious boy panda, and he and his group of larger-than-life friends explore and problem-solve in their quirky, imaginative and sometimes zany world! Each episode sees the Mojies (Japanese for letters of the alphabet) and Pappy (the Mojies book fairy of course!) help Paboo to discover the Magic Word and solve the problem of the day!

(Source: Nelvana)"
animeRelated	[]
animeCharacters	['Elephant, Emma', 'Pig, Peter', 'Pig, Peggy', 'Zebra, Zorro', 'Dog, David', 'Pappy', 'Rabbit, Rosie', 'Panda, Paboo', 'Stag Beetle, Simon', 'Panda, Pat']
animeVoices	['Tsuji, Ayumi', 'Satou, Michiru', 'Murakami, Hina', 'Shitanda, Michael', 'Yamano, Hitomi', 'Matsumiya, Kana', 'Takai, Maika', 'Itou, Mika', 'Hane, Hiromi']
animeStaff	[['Negishi, Hiroshi', 'Director'], ['Kikuchi, Kouichi', 'Sound Director'], ['Katou, Kanichi', 'Script'], ['Sekijima, Mayori', 'Series Composition']]
