animeTitle	Kishin Houkou Demonbane
animeType	OVA
animeNumEpisode	1
releaseDate	2004-07-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	3350
animeRank	
animePopularity	5570
animeDescription	"Lily Bridge, a young journalist, arrives at Arkham City, hoping to find a big scoop. However, with all the strange things occuring around the city, only the exceptional findings are news-worthy, such as the mysterious mecha known as Demonbane. However, upon finding a small piece of machinery that seemed to be connected with the Hadou Combine, Lily is determined to find the truth. Little does she know, she enters into a dark world, involving herself with Demonbane and the powerful forces that control the city.

(Source: ANN)"
animeRelated	['Zanmataisei Demonbane', 'Kishin Houkou Demonbane (TV)']
animeCharacters	['Azif, Al', 'Daijuuji, Kurou', 'Bridge, Lily']
animeVoices	['Kanda, Rie', 'Itou, Kentarou']
animeStaff	[['Inokawa, Shintarou', 'Director'], ['Masuo, Shouichi', 'Director'], ['Nitroplus', 'Original Creator, Original Character Design'], ['Niθ', 'Original Character Design']]
