animeTitle	Ys: Tenkuu no Shinden - Adol Christine no Bouken
animeType	OVA
animeNumEpisode	4
releaseDate	1992-12-16 00:00:00
endDate	1993-07-21 00:00:00
animeNumMembers	
animeScore	6.64
animeUsers	1743
animeRank	
animePopularity	7150
animeDescription	Now that Adol Christen has saved the land of Esteria from the evil priest Dark Fact, Adol and the two priestesses travel to the floating land of Ys, where evil has an even greater influence on the people and no one has hope. The future of Ys falls to Adol, heir to the powers of the priests and the only one who can show the people of Ys the truth about their world. But, as Adol's power grows, he may be the one who will save Ys—or destroy it.
animeRelated	['Ys']
animeCharacters	['Christin, Adol', 'Feena', 'Lilia', 'Reah', 'Astal', 'Dogi', 'Dares', 'Darm', 'Keith', 'Gorto']
animeVoices	['Kusao, Takeshi', 'Takayama, Minami', 'Mitsuishi, Kotono', 'Honda, Chieko', 'Nanba, Keiichi', 'Genda, Tesshou', 'Sasaoka, Shigezou', 'Wakamoto, Norio', 'Tanaka, Hideyuki', 'Kosugi, Juurouta']
animeStaff	[['Watanabe, Takashi', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Kramer, Steve', 'Script'], ['Falcom Sound Team J.D.K', 'Music']]
