animeTitle	Durarara!!x2 Ketsu: Dufufufu!!
animeType	Special
animeNumEpisode	1
releaseDate	2016-07-27 00:00:00
endDate	
animeNumMembers	47915
animeScore	7.57
animeUsers	19783
animeRank	1401
animePopularity	2559
animeDescription	A fake Shizuo from Numabukuro is causing chaos in Ikebukuro.
animeRelated	['Durarara!! Gaiden!?', 'Durarara!!x2 Ketsu']
animeCharacters	['Orihara, Izaya', 'Heiwajima, Shizuo', 'Sturluson, Celty', 'Kishitani, Shinra', 'Brezhnev, Semyon', 'Kadota, Kyouhei', 'Karisawa, Erika', 'Yumasaki, Walker', 'Vorona', 'Heiwajima, Kasuka']
animeVoices	['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Kuroda, Takaya', 'Nakamura, Yuuichi', 'Takagaki, Ayahi', 'Kaji, Yuki', 'Ichimichi, Mao', 'Kishio, Daisuke']
animeStaff	[['Ooshiro, Miyuki', 'Episode Director'], ['FLOW', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement'], ['Toyonaga, Toshiyuki', 'Theme Song Performance, Theme Song Composition, Theme Song Lyrics'], ['Narita, Ryohgo', 'Original Creator']]
