animeTitle	Hitsuji no Uta
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	6005
animeRank	
animePopularity	4422
animeDescription	"Kazuna's family has a history of suffering from a disease that creates an uncontrollable vampire-like thirst for blood. Knowing none of this, Kazuna was sent to live with the Eda couple as a child. As the sickness begins to show signs of being present within himself, he comes into contact with his older sister, Chizuna, who has been suffering from it since early childhood. Knowing that the sickness incurs a heavy weight upon those that suffer from it, Chizuna tries to ease her brother's burden, to help him learn to control his urges, but... 

(Source: ANN) "
animeRelated	['Hitsuji no Uta']
animeCharacters	['Takashiro, Chizuna', 'Takashiro, Kazuna', 'Yaegashi, You', 'Eda, Natsuko', 'Eda, Shin', 'Kinoshita, Minase']
animeVoices	['Hayashibara, Megumi', 'Seki, Tomokazu', 'Yukino, Satsuki', 'Sasaki, Youko', 'Kosugi, Juurouta', 'Suzumura, Kenichi']
animeStaff	[['Maruyama, Masao', 'Producer'], ['Sugii, Gisaburou', 'Director, Script, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Hayashibara, Megumi', 'Theme Song Performance']]
