animeTitle	PriPara Movie: Mi~nna Atsumare! Prism☆Tours
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	644
animeRank	
animePopularity	9382
animeDescription	"PriPara the Movie: Everyone, Assemble! Prism ☆ Tours is the film based on and starring the characters from PriPara. The film is scheduled to begin showing in theaters across Japan from March 7, 2015. The plot will focus on Laala Manaka finding out about Saints' top idol journey, and will feature the return of many characters from across all the Pretty Rhythm series.

(Source: PriPara Wikia)"
animeRelated	['PriPara']
animeCharacters	['Manaka, Laala', 'Houjou, Sophie', 'Minami, Mirei', 'West, Leona', 'Toudou, Shion', 'Takamine, Mion', 'West, Dorothy', 'Harune, Aira', 'Ayase, Naru', 'Ageha, Mia']
animeVoices	['Akaneya, Himika', 'Kubota, Miyu', 'Serizawa, Yuu', 'Wakai, Yuuki', 'Yamakita, Saki', 'Shibuya, Azuki', 'Asumi, Kana', 'Katou, Emiri', 'Ookubo, Rumi']
animeStaff	[['Moriwaki, Makoto', 'Director'], ['Hishida, Masakazu', 'Director'], ['Watanabe, Akio', 'Original Character Design'], ['Yaso, Shouta', 'Sound Effects']]
