animeTitle	Rec: Yurusarezarumono
animeType	Special
animeNumEpisode	1
releaseDate	2006-06-30 00:00:00
endDate	
animeNumMembers	22790
animeScore	7.14
animeUsers	14380
animeRank	3188
animePopularity	3762
animeDescription	"While going out to eat with his roommate Aka Onda, Fumihiko Matsumaru encounters Tanaka, a woman from his company's accounting department who had previously stood him up on a date. Dumped by her boyfriend just minutes before, Tanaka forces Fumihiko to drink with her, spurring Aka's jealousy.

After Fumihiko escorts a drunk Tanaka home, he ends up tending to her the entire night, leading Aka to become suspicious. How will Fumihiko clear up the misunderstanding?

[Written by MAL Rewrite]"
animeRelated	['●Rec', 'Rec']
animeCharacters	['Onda, Aka', 'Matsumaru, Fumihiko', 'Tanaka', 'Hatakeda, Yoshio']
animeVoices	['Sakai, Kanako', 'Yasumura, Makoto', 'Koyama, Kimiko', 'Ono, Daisuke']
animeStaff	[['Ooshima, Miku', 'Assistant Producer'], ['Nakamura, Ryuutarou', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Sakai, Kanako', 'Theme Song Performance']]
