animeTitle	Massugu ni Ikou. 2nd Season
animeType	TV
animeNumEpisode	5
releaseDate	2004-03-27 00:00:00
endDate	2004-04-01 00:00:00
animeNumMembers	
animeScore	6.6
animeUsers	567
animeRank	
animePopularity	9541
animeDescription	Mametarou is a Crossbreed and this is about his daily activities and the friends he makes with his girlfriend, Hanako.
animeRelated	['Massugu ni Ikou.']
animeCharacters	['Mametarou', 'Wakatsuki, Ikuko', 'Akiyoshi, Junichi', 'Sora', 'Hattori, Akiko', 'Ijuuin, Takeshi', 'Hanako', 'Mr. Okada', 'Hattori, Terumi', 'Noda, Chocola']
animeVoices	['Yoshino, Hiroyuki', 'Orikasa, Fumiko', 'Nojima, Kenji', 'Hanba, Tomoe', 'Inoue, Kikuko', 'Suzumura, Kenichi', 'Kojima, Sachiko', 'Itou, Eiji', 'Yamanoi, Jin', 'Kaneda, Tomoko']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Fujioka, Maki', 'Episode Director, Animation Director'], ['Tsunaki, Aki', 'Episode Director, Character Design, Chief Animation Director, Animation Director'], ['Saijou, Takashi', 'Episode Director, Animation Director']]
