animeTitle	"b""Sparrow's Hotel"""
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.46
animeUsers	4590
animeRank	
animePopularity	
animeDescription	"b'The comedy revolves around Sayuri Satou, the new front desk worker at the Sparrow\'s Hotel\xe2\x80\x94""the closest hotel to Heaven"". Her special features are her large breasts and her skills of assassination. She takes down people who cause trouble in the business hotel with those skills, but she is in fact very unskilled when talking to the male hotel manager, and often bites her tongue.\n\n(Source: ANN)'"
animeRelated	"[b""Sparrow's Hotel""]"
animeCharacters	[b'Satou, Sayuri', b'Shiokawa, Tamaki', b'Shiokawa, Brother', b'Misono', b'Kojou, Yuu', b'Billy the XO']
animeVoices	[b'\nChihara, Minori\nJapanese\n', b'\nNagashima, Haruka\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nYuki, Asuka\nJapanese\n', b'\nKoyama, Tsuyoshi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Tetsuharu\n\nDirector\n\n', b'\nOomuro, Masakatsu\n\nSound Director\n\n', b'\nChihara, Minori\n\nTheme Song Performance\n\n', b'\nNagashima, Haruka\n\nTheme Song Performance\n\n']
