animeTitle	Negima!? Haru Special!?
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	8899
animeRank	
animePopularity	4095
animeDescription	"Sometime after all the events which took place during Negi's first year as a teacher, Class 2-A goes on a school trip to a beautiful island for Spring break. Everything is fine now, but troubles continue for Negi, because he's still the main atraction of the class. But he has something else to worry about, Asuna is angry at him because he told her she had nothing to do with his studies as a wizard. During the trip, the situation gets intense as Asuna's friends try to help Negi make up with her.

(Source: ANN)"
animeRelated	['Mahou Sensei Negima!', 'Negima!?']
animeCharacters	['Springfield, Negi', 'Kagurazaka, Asuna', 'Konoe, Konoka', 'Yukihiro, Ayaka', 'McDowell, Evangeline Athanasia Katherine', 'Miyazaki, Nodoka', 'Sakurazaki, Setsuna', 'Ayase, Yue', 'Hasegawa, Chisame', 'Karakuri, Chachamaru']
animeVoices	['Satou, Rina', 'Kanda, Akemi', 'Nonaka, Ai', 'Minagawa, Junko', 'Matsuoka, Yuki', 'Noto, Mamiko', 'Kobayashi, Yuu', 'Kuwatani, Natsuko', 'Shimura, Yumi']
animeStaff	[['Cook, Justin', 'Producer'], ['Kubota, Mitsutoshi', 'Producer'], ['Nakanishi, Go', 'Producer'], ['Shinbou, Akiyuki', 'Director']]
