animeTitle	Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!
animeType	Movie
animeNumEpisode	1
releaseDate	2007-03-17 00:00:00
endDate	
animeNumMembers	4997
animeScore	7.3
animeUsers	2347
animeRank	2402
animePopularity	6986
animeDescription	"During a vacation Natsumi is visited by a female alien and male alien who she later gains feelings for from the ocean that makes her the Deep Sea Princess who, along with the rest of the Keroro Platoon, encounter many dangers summoned by a mysterious creature. 

(Source: Wikipedia)"
animeRelated	['Keroro Gunsou']
animeCharacters	['Keroro', 'Giroro', 'Kururu', 'Tamama', 'Dororo', 'Hinata, Natsumi', 'Hinata, Fuyuki', 'Meru', 'Azumaya, Koyuki', 'Mois, Angol']
animeVoices	['Watanabe, Kumiko', 'Nakata, Jouji', 'Koyasu, Takehito', 'Kozakura, Etsuko', 'Kusao, Takeshi', 'Saitou, Chiwa', 'Kawakami, Tomoko', 'Kuwashima, Houko', 'Hirohashi, Ryou', 'Noto, Mamiko']
animeStaff	[['Satou, Junichi', 'Director'], ['Yamaguchi, Susumu', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director'], ['Mori, Chiyoko', 'Theme Song Lyrics']]
