animeTitle	The iDOLM@STER Shiny Festa
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	7487
animeRank	
animePopularity	4349
animeDescription	New anime episodes released with each of the three iDOLM@STER Shiny Festa PSP games (Honey Sound, Funky Note, and Groovy Tune).
animeRelated	['The iDOLM@STER: 765 Pro to Iu Monogatari', 'The iDOLM@STER Movie: Kagayaki no Mukougawa e!']
animeCharacters	['Kisaragi, Chihaya', 'Hoshii, Miki', 'Kikuchi, Makoto', 'Shijou, Takane', 'Amami, Haruka', 'Minase, Iori', 'Ganaha, Hibiki', 'Takatsuki, Yayoi', 'Hagiwara, Yukiho', 'Miura, Azusa']
animeVoices	['Imai, Asami', 'Hasegawa, Akiko', 'Hirata, Hiromi', 'Hara, Yumi', 'Nakamura, Eriko', 'Kugimiya, Rie', 'Numakura, Manami', 'Nigo, Mayako', 'Asakura, Azumi', 'Takahashi, Chiaki']
animeStaff	[['Nishigori, Atsushi', 'Director, Storyboard'], ['Takahashi, Masanori', 'Episode Director'], ['Kugimiya, Rie', 'Theme Song Performance, Inserted Song Performance'], ['Imai, Asami', 'Theme Song Performance, Inserted Song Performance']]
