animeTitle	b'Koisuru Asteroid'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.87
animeUsers	23925
animeRank	
animePopularity	
animeDescription	"b""In a fateful childhood encounter, Mira Kinohata met a stargazing dreamer named Ao Manaka. Though their time together was short, Ao showed Mira the wonders of astronomy, from orbiting planets to distant stars. Before they parted, Mira learned that a star with her name exists, but there are none with Ao's. And so, she forged a promise: one day, she would discover a new asteroid and name it after Ao.\n\nYears later, Mira is still fascinated with astronomy. Now in high school at Hoshizaki Academy, she tries to join the Astronomy Club. Unfortunately, she finds out that the club has been merged with the Geology Club to form a single Earth Sciences Club. She joins this new club and finds a pleasant surprise\xe2\x80\x94she reunites with Ao after years of separation.\n\nAlongside their new clubmates, Mira and Ao begin their journey together to fulfill their promise. How hard could it possibly be to find an asteroid?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Koisuru Asteroid', b'Koisuru Asteroid: KiraKira Zoukan-gou', b'Koisuru Asteroid: Furikaeri - KiraKira Special!']
animeCharacters	[b'Manaka, Ao', b'Sakurai, Mikage', b'Morino, Mari', b'Konohata, Mira', b'Inose, Mai', b'Suzuya, Moe', b'Endou, Yuki', b'Suzuya, Megu', b'Konohata, Misa', b'Sakurai, Chikage']
animeVoices	[b'\nYamaguchi, Megumi\nJapanese\n', b'\nTouyama, Nao\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nTakayanagi, Tomoyo\nJapanese\n', b'\nSashide, Maria\nJapanese\n', b'\nUeda, Reina\nJapanese\n', b'\nLynn\nJapanese\n', b'\nYorita, Natsu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSabat, Christopher\n\nProducer\n\n', b'\nHiramaki, Daisuke\n\nDirector\n\n', b'\nTakadera, Takeshi\n\nSound Director\n\n', b'\nKawagoe, Kazuki\n\nEpisode Director, Storyboard\n\n']
