animeTitle	Ano Ko Secret
animeType	Music
animeNumEpisode	1
releaseDate	2017-07-13 00:00:00
endDate	
animeNumMembers	2485
animeScore	7.43
animeUsers	1593
animeRank	1864
animePopularity	8921
animeDescription	"An original song by Eve, sung by Hatsune Miku, animated by Okamoto and TriF Studio. Eve's self-cover uses the same animated footage and was released on July 15, 2017. Eve included his self-cover MV on his own self-made record label harapeco records's CD+DVD release on December 13, 2017 as a part of his ""Bunka"" album."
animeRelated	['Nonsense Bungaku', 'Dramaturgy', 'Oki ni Mesu mama']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
