animeTitle	b'Youkai Watch Movie 5: Forever Friends'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.58
animeUsers	303
animeRank	
animePopularity	
animeDescription	"b""1960s --- Tokyo.\n\nShin is a boy who lived happily despite being poor, loses his mother who is his only family member, and falls into deep misfortune. Itsuki, a boy who saves Shin also lost his older sister. Those two boys are joined by Tae, a girl who can see youkai and together with Shin's guardian spirit Suu-san and new Youkai such as Nekomata, they take on a mysterious incident in order to retrieve the souls of their precious family! And what is the shocking truth that awaits them...!? An origin story for how Lord Enma became the rule of the Yomakai. \n\n(Source: Wikipedia, edited)"""
animeRelated	[b'Youkai Watch', b'Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu', b'Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka', b'']
animeCharacters	[b'Nekomata', b'Shimomachi, Shin', b'Shien', b'Ancient Enma', b'Nuraihyon', b'Tengu Karasu', b'Kamaitachi, Kaibyou', b'Soranaki', b'Amaterasu, Kenshin', b'Kukuri-hime']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Shigeharu\n\nDirector\n\n', b'\nHata, Shouji\n\nSound Director\n\n', b'\nIshigura, Rei\n\nEpisode Director\n\n', b'\nHino, Akihiro\n\nScript, Executive Producer\n\n']
