animeTitle	Mouretsu Atarou
animeType	TV
animeNumEpisode	90
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14171
animeDescription	"Based on a manga of Akatsuka Fujio.

Batsugoro was the owner of a grocery store, Yaobatsu. When he tried to take a balloon hanged caught on the branch for a little child, he fell on to the ground to die. His son, Ataro, succeeded to the store, but Batsugoro was worried about him, and he remained there being a ghost. Ataro managed the shop alone, but soon his follower, Dekoppachi, began to help him. Being surrounded by strange characters such as, Nyarome, Butamatsu, the heart-warming story develops.

(Source: AnimeNfo)"
animeRelated	['Mouretsu Atarou', 'Mouretsu Atarou (1990)', 'Mouretsu 50 Ototarou']
animeCharacters	['Nyarome', 'Atarou', 'Kemunpas', 'Dekoppachi', 'Deko-chan', 'Batsugorou', 'Kokoro no Boss']
animeVoices	['Yamamoto, Keiko', 'Noda, Keiichi', 'Katou, Midori', 'Nozawa, Masako', 'Nagai, Ichiro', 'Yanami, Jouji']
animeStaff	[['Takahata, Isao', 'Episode Director'], ['Nishizawa, Nobutaka', 'Episode Director'], ['Yamaguchi, Yasuo', 'Episode Director'], ['Tamiya, Takeshi', 'Episode Director']]
