animeTitle	Moetan
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	8332
animeRank	
animePopularity	3527
animeDescription	"Ink Nijihara is a girl in high school. Unfortunately her crush Nao Tezuka barely recognizes her. To make matters worse, she is very short. Now Ink meets a duck and becomes a ""mahou shoujo"" and teaches Nao english in disguise. 

(Source: ANN)"
animeRelated	['Moetan', 'Moetan Specials']
animeCharacters	['Nijihara, Ink', 'Kuroi, Sumi', 'Ah-kun', 'Shiratori, Alice', 'Ka-kun', 'Tezuka, Nao', 'Na-kun', 'Dandy', 'Ruriko', 'Tanaka, Rina']
animeVoices	['Tamura, Yukari', 'Tomatsu, Haruka', 'Onosaka, Masaya', 'Nazuka, Kaori', 'Hiyama, Nobuyuki', 'Ueda, Yuuji', 'Kaneda, Tomoko', 'Nakata, Jouji', 'Morinaga, Rika', 'Iguchi, Yuka']
animeStaff	[['Kawaguchi, Keiichirou', 'Director, Episode Director, Storyboard'], ['Matsuoka, Hiroki', 'Sound Director'], ['Ikehata, Hiroshi', 'Episode Director'], ['Hashiguchi, Yousuke', 'Episode Director']]
