animeTitle	Ayane-chan High Kick!
animeType	OVA
animeNumEpisode	2
releaseDate	1997-01-21 00:00:00
endDate	1997-04-25 00:00:00
animeNumMembers	4653
animeScore	5.82
animeUsers	2152
animeRank	9286
animePopularity	7204
animeDescription	"Ayane is a high school student focused on one thing, becoming a pro wrestler. A trainer tricks her into becoming a Kick Boxer, the sport she hates. She keeps with it though once she finds out.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mitsui, Ayane', 'Miyagawa, Sakurako', 'Nakajima, Kayoko', 'Tange, Kunimitsu', 'Principal', 'Inagaki, Kappei']
animeVoices	['Miyamura, Yuko', 'Kawamura, Maria', 'Nishihara, Kumiko', 'Ootsuka, Akio', 'Chafurin', 'Yamaguchi, Kappei']
animeStaff	[['Miyamura, Yuko', 'Theme Song Performance'], ['hide', 'Theme Song Performance, Theme Song Lyrics'], ['THE STREET BEATS', 'Theme Song Performance, Theme Song Arrangement'], ['Miyamae, Mitsuharu', 'Art Director']]
