animeTitle	The☆Doraemons: Goal! Goal! Goal!!
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	504
animeRank	
animePopularity	10555
animeDescription	"The Doraemons, a group of culturally different versions of the Doraemon, gather to play a game of soccer.

(Source: ANN)"
animeRelated	['Doraemon Movie 23: Nobita to Robot Kingdom']
animeCharacters	['Doraemon', 'Dora-rinho', 'El Matadora', 'Dora-nichov', 'Dora the Kid', 'Dr. Achimoff', 'Dora-med III', 'Wang, Dora']
animeVoices	[]
animeStaff	[['Yasumi, Tetsuo', 'Director'], ['Fujiko, Fujio F.', 'Original Creator'], ['Matsuda, Akihiko', 'Sound Effects'], ['Ookuma, Akira', 'Recording Engineer']]
