animeTitle	Future Card Shin Buddyfight
animeType	TV
animeNumEpisode	47
releaseDate	2018-06-02 00:00:00
endDate	2019-04-27 00:00:00
animeNumMembers	
animeScore	6.41
animeUsers	891
animeRank	
animePopularity	9093
animeDescription	"Set 23 years after the end of the original Future Card Buddyfight where the son of Gao Mikado, Yuga Mikado discovers Buddyfight for the first time. When he starts playing the game, he awakens his instincts and becomes an amazing buddyfighter over a short period of time. This attention brings along its own challenges from brand new rivals and friends. However, this fame and joy comes at a cost. 

This is the next generation of Buddyfight!"
animeRelated	['Future Card Shin Buddyfight', 'Future Card Buddyfight Battsu: All-Star Fight']
animeCharacters	['Hoshiyomi, Subaru', 'Mikado, Yuga', 'Kakogawa, Ranma', 'Kurouzu, Light', 'Mikono, Miko', 'Mikado, Haru']
animeVoices	['Kobayashi, Daiki']
animeStaff	"[['Terakawa, Aimi', 'Theme Song Performance'], ['Ootsuka, Sae', 'Theme Song Performance'], [""Poppin'Party"", 'Theme Song Performance']]"
