animeTitle	Hello Kitty to Issho
animeType	OVA
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	166
animeRank	
animePopularity	12896
animeDescription	"Hello Kitty and her twin sister Mimmy learn to share, eat their vegetables, sleeping by themselves, answer the phone, use proper table manners, and much more. 

(Source:  AnimEigo)"
animeRelated	[]
animeCharacters	['White, Kitty', 'White, Mimmy']
animeVoices	['Hayashibara, Megumi', 'Tominaga, Miina']
animeStaff	[]
