animeTitle	Mass Effect: Paragon Lost
animeType	Movie
animeNumEpisode	1
releaseDate	2012-11-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	4288
animeRank	
animePopularity	5764
animeDescription	"Mass Effect: Paragon Lost is the prequel to the highly-anticipated Mass Effect 3 and follows the early career of Alliance Marine, James Vega. Vega leads an elite Special Forces squad into battle against a mysterious alien threat known as The Collectors. Stationed at a colony in a remote star system, Vega and his soldiers must protect the civilians from a ruthless invasion determined to capture the population for unknown purposes. Learn more about the Mass Effect universe with an unprecedented glimpse into the haunted past of Mass Effect's newest hero! 

(Source: masseffectparagonlost.com) "
animeRelated	[]
animeCharacters	"['Vega, James', ""T'Soni, Liara"", 'Anderson, David', 'Hackett, Steven', 'Milque', 'Brood', 'Messner', 'April', 'Treeya', 'Christine']"
animeVoices	[]
animeStaff	[['Takeuchi, Atsushi', 'Director, Storyboard, Animation Director, Background Art, Key Animation'], ['Nishio, Tetsuya', 'Storyboard'], ['Kise, Kazuchika', 'Storyboard'], ['Tanaka, Yuuichi', 'Storyboard']]
