animeTitle	b'Uchuusen Sagittarius'
animeType	b'TV'
animeNumEpisode	77
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	259
animeRank	
animePopularity	
animeDescription	b'Working for a multi-purpose space agency, Toppy and Rana make friends with Giraffe, a scientist, and go through various adventures in space. The three encounter danger at times, but their friendship always saves them just in the nick of time.\n\n(Source: Official site)'
animeRelated	[b'Uchuusen Sagittarius Pilot']
animeCharacters	[b'Sibip', b'Toppy', b'Rana', b'Giraffe', b'Kyouju, Anne', b'Goruba', b'Alotta', b'Sari', b'Franken', b'Pikason']
animeVoices	[b'\nHorie, Mitsuko\nJapanese\n', b'\nShimada, Bin\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nShioya, Yoku\nJapanese\n', b'\nOkamoto, Maya\nJapanese\n', b'\nTsujimura, Mahito\nJapanese\n', b'\nShibata, Hidekatsu\nJapanese\n', b'\nWatanabe, Naoko\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nSaitou, Hiroshi\n\nStoryboard\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n"", b'\nHarada, Hiroshi\n\nKey Animation\n\n', b'\nMatsumi, Shinichi\n\nProduction Assistant\n\n']"
