animeTitle	Jungle Taitei Movie
animeType	Movie
animeNumEpisode	1
releaseDate	1966-07-31 00:00:00
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	238
animeRank	
animePopularity	11335
animeDescription	"The first 2 minutes of this film are taken from the Jungle Emperor Leo (1965) TV series, while the rest is all original. Tezuka was very pleased that this film conveyed his story accurately, something he wasn't able to do with the TV series. 

(Source: ANN)"
animeRelated	['Jungle Taitei']
animeCharacters	['Leo', 'Panja']
animeVoices	['Oota, Yoshiko', 'Midorikawa, Minoru']
animeStaff	[['Masaki, Mori', 'Producer'], ['Yamamoto, Eiichi', 'Director'], ['Rintaro', 'Episode Director'], ['Sugino, Akio', 'Key Animation']]
