animeTitle	b'Hana no Kakarichou'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A wacky comedy about a man from a noble ancestry of long ago, but who in modern times is just a lowly salary man that is constantly being humiliated by his family and co-workers.\n\n(Source: AniDB)'
animeRelated	[b'Manga Hana no Kakarichou']
animeCharacters	[b'Mashumaro, Ayanoroji', b'Youko']
animeVoices	[b'\nTomita, Kousei\nJapanese\n', b'\nMukai, Mariko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nOkazaki, Minoru\n\nEpisode Director\n\n', b'\nItou, Tsunehisa\n\nScript\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n"", b'\nKobayashi, Shichiro\n\nArt Director\n\n']"
