animeTitle	Kininaru Roommate
animeType	OVA
animeNumEpisode	2
releaseDate	2006-02-25 00:00:00
endDate	2006-09-25 00:00:00
animeNumMembers	
animeScore	6.54
animeUsers	2018
animeRank	
animePopularity	6841
animeDescription	"Based on the manga by Yuunagi Kaoru.

The main character, Yu, was at the depths of despair; he was dumped by his lover, and failed in the entrance exams. He moved to a new apartment to engage in studying for the entrance exam next year. However, he found that his new room was above an erotic night club. When he entered the room, there was a girl changing her clothes.

(Source: AnimeNfo)"
animeRelated	['Kininaru Roommate']
animeCharacters	['Asagiri, Urara ', 'Morishita, Tsugumi ', 'Nanjou, Yukiko ', 'Fukuzawa, Mayumi ', 'Motomiya, Ai', 'Yoshimura, Hazuki ', 'Shibasaki, Sakura ']
animeVoices	['Fujisaki, Kaori', 'Kodama, Satomi', 'Maki, Midori']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Miyamae, Mitsuharu', 'Background Art'], ['Yunagi, Kahoru', 'Original Creator']]
