animeTitle	Rilakkuma to Yuuenchi
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10826
animeDescription	"Grab your tickets and get in line for a new series of stop-motion adventures with Rilakkuma and Kaoru! Join Rilakkuma, Korilakkuma, Kiiroitori, and Kaoru as they explore an amusement park in its closing hours when Rilakkuma's Theme Park Adventure arrives next year.

(Source: Netflix)"
animeRelated	['Rilakkuma to Kaoru-san']
animeCharacters	['Rilakkuma', 'Kaoru']
animeVoices	['Tabe, Mikako']
animeStaff	[['Kobayashi, Masahito', 'Director'], ['Ueda, Makoto', 'Script'], ['Sumita, Takashi', 'Script']]
