animeTitle	Alexander Senki
animeType	TV
animeNumEpisode	13
releaseDate	1999-09-15 00:00:00
endDate	1999-09-18 00:00:00
animeNumMembers	7074
animeScore	5.7
animeUsers	2763
animeRank	9728
animePopularity	6116
animeDescription	"In 356 BC, Alexander the Great arrives in Greece with the ominous destiny that he will become the ""destroyer of the world."" Inheriting the crown, he becomes king of the Macedonians and starts down a road of conquest with terrific speed. Alexander ultimately confronts his fated nemesis, Darius the Third, in a war with Persia which changes Alexander into the devil he was fated to become, assuring the destruction of all in his path, and possibly himself.

(Source: TBS Global Business)"
animeRelated	['Alexander Senki Movie']
animeCharacters	['Alexander', 'Diogenes', 'Hephaestion', 'Philippos', 'Cleitus', 'Roxanne', 'Cassandra', 'Demosthenes', 'Attalos', 'Antipater']
animeVoices	['Seki, Toshihiko', 'Kumakura, Kazuo', 'Tsujitani, Kouji', 'Furuya, Toru', 'Ootsuka, Houchuu', 'Minaguchi, Yuko', 'Tanaka, Atsuko', 'Sugou, Takayuki', 'Aono, Takeshi', 'Ooki, Tamio']
animeStaff	[['Rintaro', 'Co-Director, Producer'], ['Kanemori, Yoshinori', 'Co-Director'], ['Maruyama, Masao', 'Producer'], ['Honda, Yasunori', 'Sound Director']]
