animeTitle	b'Akuma no Memumemu-chan'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	1527
animeRank	
animePopularity	
animeDescription	"b""The gag manga depicts the everyday life of the demon Memumemu-chan, who appears before the high school student Hyouta one day. She's come to seduce men and steal their souls, however, has neither the motivation nor the ability to carry out her duty. The story revolves around Memumemu, Hyouta, who is often misunderstood as a lolicon due to Memumemu, and the super sexy mother-daughter duo who manages the apartment Hyouta resides in.\n\n(Source: MAL News)"""
animeRelated	[b'Akuma no Memumemu-chan']
animeCharacters	[b'Ooya', b'Itsuki, Anzu', b'Hyouta', b'Memumemu']
animeVoices	[b'\nNakahara, Mai\nJapanese\n', b'\nIgarashi, Hiromi\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nTakahashi, Karin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNumata, Seiya\n\nDirector\n\n', b'\nIwamoto, Rina\n\nKey Animation, Character Design\n\n', b'\nYotsuya, Keitarou\n\nOriginal Creator\n\n']
