animeTitle	It's My Life
animeType	OVA
animeNumEpisode	1
releaseDate	2019-01-30 00:00:00
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	1738
animeRank	
animePopularity	6054
animeDescription	"Based on a fantasy manga by Narita Imomushi.

Astra Ludger Doomsday, former captain of the royal knights has finally achieved his dearest wish: To retire and use his savings to get his very own house. But not long after finally arriving at his sanctuary, a young girl crash-lands into his house. The girl is an apprentice witch and seems to mistake Astra for someone else.

(Source: M-U)"
animeRelated	"[""It's My Life""]"
animeCharacters	['Doomsday, Astra Ludger', 'O Antikythira, Noah']
animeVoices	['Inada, Tetsu', 'Igarashi, Hiromi']
animeStaff	[['Hirasawa, Hisayoshi', 'Director, Sound Director'], ['Narita, Imomushi', 'Original Creator'], ['Hayashi, Kouji', 'Director of Photography'], ['Aoyama, Ouwa', 'Art Director']]
