animeTitle	Suketto Sanjou!! The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2020-04-24 00:00:00
endDate	2020-05-29 00:00:00
animeNumMembers	5632
animeScore	6.75
animeUsers	2076
animeRank	
animePopularity	6705
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Mechashiko Seven', 'Suketto Sanjou!!']
animeCharacters	['Bash, Sandy', 'Crawford, Wendy']
animeVoices	[]
animeStaff	[['Araki, Hideki', 'Director'], ['Horikawa, Kazuto', 'Editing, Director of Photography'], ['Rakko', 'Original Creator']]
