animeTitle	All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	545
animeRank	
animePopularity	9401
animeDescription	A collaboration between Suntory's All-Free a zero-alcohol/zero-calorie/zero-carb beverage tasting like beer and Osomatsu-san.
animeRelated	['Osomatsu-san']
animeCharacters	['Matsuno, Ichimatsu', 'Matsuno, Karamatsu', 'Matsuno, Juushimatsu', 'Matsuno, Osomatsu', 'Matsuno, Choromatsu', 'Matsuno, Todomatsu']
animeVoices	['Fukuyama, Jun', 'Nakamura, Yuuichi', 'Ono, Daisuke', 'Sakurai, Takahiro', 'Kamiya, Hiroshi', 'Irino, Miyu']
animeStaff	[]
