animeTitle	b'Seirei Tsukai'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	713
animeRank	
animePopularity	
animeDescription	"b'Based on the manga by Okazaki Takeshi begun in 1990.\n\nAfter a family tragedy, Kagura is left with only his beloved friend Asami for consolation. Meanwhile, there is a war beginning in the spiritual world. Beings known as ""Elementalors"" call upon power from spirits to maintain harmony in the world by balancing individual forces of nature. Lord Shiki, a water Elementalor, kidnaps Asami in order to use special powers she posesses to retrieve his daughter, who has been imprisioned for nearly destroying the Earth. Kagura discovers that he is also an Elementalor\xe2\x80\x94a very powerful one. He must join forces with other Elementalors to save Asami and prevent Lord Shiki from causing a great imbalance by releasing his daughter.\n\n(Source: ANN)'"
animeRelated	[b'Shouryou Tsukai Elementalors']
animeCharacters	[b'Shiki', b'Asami', b'Tsuyuha', b'Kagura', b'Sai']
animeVoices	[b'\nInoue, Kazuhiko\nJapanese\n', b'\nShiina, Hekiru\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAkiyama, Katsuhito\n\nProducer, Director\n\n', b'\nGouda, Hiroaki\n\nProducer\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nHonda, Takeshi\n\nKey Animation, 2nd Key Animation\n\n']
