animeTitle	Infini-T Force Movie: Gatchaman - Saraba Tomo yo
animeType	Movie
animeNumEpisode	1
releaseDate	2018-02-24 00:00:00
endDate	
animeNumMembers	1755
animeScore	6.24
animeUsers	237
animeRank	7473
animePopularity	9789
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Infini-T Force']
animeCharacters	['Washio, Ken', 'Casshern', 'Asakura, Joe', 'Yoroi, Takeshi', 'Minami, Johji', 'Kozaburou, Nambu', 'Kaidou, Emi', 'Sasaoka']
animeVoices	['Seki, Tomokazu', 'Saitou, Souma', 'Suzuki, Kazuma', 'Suzumura, Kenichi', 'Sakurai, Takahiro', 'Funakoshi, Eiichirou', 'Kayano, Ai', 'Endou, Aya']
animeStaff	[['Matsumoto, Atsushi', 'Director'], ['Oh! Great', 'Original Character Design'], ['Kumagai, Jun', 'Series Composition']]
