animeTitle	Kuro no Kyoushitsu
animeType	OVA
animeNumEpisode	2
releaseDate	2015-05-29 00:00:00
endDate	2016-07-29 00:00:00
animeNumMembers	6840
animeScore	6.5
animeUsers	2301
animeRank	
animePopularity	6188
animeDescription	Based on the adult game by Bishop. 
animeRelated	['Kuro no Kyoushitsu']
animeCharacters	['Narukawa, Mahiru', 'Daisuke, Uehara', 'Kusunoki, Kazuha', 'Nomiya, Nanako', 'Arisugawa, Saeka']
animeVoices	[]
animeStaff	[['Bishop', 'Original Creator'], ['Nobidome, Youta', 'Key Animation']]
