animeTitle	b'Barbapapa Sekai wo Mawaru'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.0
animeUsers	370
animeRank	
animePopularity	
animeDescription	"b'""Barbapapa around the world"", is a fun-filled collection of 5-minute animated cartoons for preschool children. Barbapapa and his family return to TV for the first time in 25 years with 50 completely new and original episodes.\n\nEach episode travels to far-off lands where the Barbapapa family learns about plants, birds, reptiles or mammals in their natural Habitat. The Barbapapa family not only has fun playing with and imitating rare animals but it also helps the creatures when they fall into life-threatening situations. Join the Barbapapa Family as it travels to New Guinea, The Amazon, Patagonia and all over the world discovering the humor, danger and excitement of life.\n\n(Source: barbapapa.fr)'"
animeRelated	[b'Barbapapa', b'Barbapapa (1977)']
animeCharacters	[b'Barbapapa', b'Barbabelle', b'Barbamama', b'Narrator', b'Barbazoo']
animeVoices	[b'\nChafurin\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nHan, Keiko\nJapanese\n', b'\nIkeda, Masako\nJapanese\n', b'\nMatsuoka, Youko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKagawa, Yutaka\n\nEpisode Director\n\n', b'\nYamada, Michishiro\n\nEpisode Director, Key Animation, Animation Director\n\n', b'\nSeki, Shuuichi\n\nKey Animation, Animation Director\n\n', b'\nIkeda, Yuuji\n\nArt Director\n\n']
