animeTitle	Kaibutsu Oujo (OVA)
animeType	OVA
animeNumEpisode	3
releaseDate	2010-12-09 00:00:00
endDate	2011-10-07 00:00:00
animeNumMembers	
animeScore	7.07
animeUsers	4862
animeRank	
animePopularity	4917
animeDescription	"Based on a manga by Mitsunaga Yasunori, serialised in Monthly Shounen Sirius.

Hiyorimi Hiro moves to a new city to live with his older sister, but dies before he can find her. He then awakens to a new life as a servant of a Princess of the Monster Realm, who just happens to be employing his sister. Monsters soon appear to attack or pester the princess since she is in line for the royal throne, and Hiro must protect her with his life (and repeated deaths).

(Soure: ANN)"
animeRelated	['Kaibutsu Oujo', 'Kaibutsu Oujo Specials']
animeCharacters	['Liliane', 'Wildman, Riza', 'Kamura, Reiri', 'Hiyorimi, Hiro', 'Flandre', 'Sherwood', 'Micasa', 'Hiyorimi, Sawawa', 'Sylvia', 'Francisca']
animeVoices	['Hayami, Saori', 'Kitamura, Eri', 'Toyosaki, Aki', 'Irino, Miyu', 'Iguchi, Yuka', 'Taketatsu, Ayana', 'Kayano, Ai', 'Inoue, Kikuko']
animeStaff	[['Kawaguchi, Keiichirou', 'Director, Sound Director'], ['Yoshihara, Tatsuya', 'Episode Director, Storyboard, Animation Director, In-Between Animation, 2nd Key Animation, Key Animation'], ['Kouno, Megumi', 'Key Animation'], ['Satou, Keiichi', 'Mechanical Design']]
