animeTitle	Kara The Animation
animeType	TV
animeNumEpisode	5
releaseDate	2013-03-01 00:00:00
endDate	
animeNumMembers	1049
animeScore	5.38
animeUsers	145
animeRank	10722
animePopularity	11022
animeDescription	"The fictional stories will feature each of the members in a different career: Gyuri as a police officer, Seungyeon as an astronaut, Nicole as a passenger boat captain, Hara as security police for the Monaco royal family and Jiyoung as a sexy and spirited firefighter. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Han, Seungyeon', 'Park, Gyuri']
animeVoices	[]
animeStaff	[]
