animeTitle	b'Future Card Buddyfight Battsu'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	1322
animeRank	
animePopularity	
animeDescription	b'The fourth season of Future Card Buddyfight.'
animeRelated	[b'Future Card Buddyfight Triple D', b'Future Card Buddyfight Battsu: All-Star Fight']
animeCharacters	[b'Mikado, Gaou', b'Kurouzu, Gaito', b'Ryuuenji, Tasuku', b'Aragami, Rouga', b'Hyouryuu, Kiri', b'Kodou, Noboru', b'Nanana, Paruko', b'Oomori, Baku', b'Ozora, Kanata', b'Wisdom']
animeVoices	[b'\nMizuno, Marie\nJapanese\n', b'\nAoi, Shouta\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nHirota, Minoru\nJapanese\n', b'\nKitta, Izumi\nJapanese\n', b'\nTokui, Sora\nJapanese\n', b'\nMorishima, Shuuta\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nTokui, Sora\n\nTheme Song Performance\n\n', b'\nTerakawa, Aimi\n\nTheme Song Performance\n\n', b'\nOotsuka, Sae\n\nTheme Song Performance\n\n', b""\nPoppin'Party\n\nTheme Song Performance\n\n""]"
