animeTitle	Eiga! Tamagotchi Uchuu Ichi Happy na Monogatari!?
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13627
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?']
animeCharacters	['Mametchi', 'Memetchi', 'Kuchipatchi', 'KuroMametchi']
animeVoices	[]
animeStaff	[['Shimura, Jouji', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Takahashi, Naohito', 'Storyboard'], ['Iwata, Keiko', 'In-Between Animation']]
