animeTitle	Koyomi History
animeType	Special
animeNumEpisode	1
releaseDate	2016-09-22 00:00:00
endDate	
animeNumMembers	15681
animeScore	6.61
animeUsers	5440
animeRank	5572
animePopularity	4456
animeDescription	Adaptation of Koyomi History short story released on Madogatari Blu-ray.
animeRelated	['Koyomi History', 'Monogatari Series: Second Season']
animeCharacters	['Senjougahara, Hitagi', 'Oshino, Shinobu', 'Araragi, Koyomi', 'Hanekawa, Tsubasa', 'Hachikuji, Mayoi', 'Kanbaru, Suruga', 'Sengoku, Nadeko']
animeVoices	['Saitou, Chiwa', 'Kamiya, Hiroshi', 'Horie, Yui', 'Katou, Emiri', 'Sawashiro, Miyuki', 'Hanazawa, Kana']
animeStaff	[]
