animeTitle	Dominion
animeType	OVA
animeNumEpisode	4
releaseDate	1988-05-27 00:00:00
endDate	1989-08-11 00:00:00
animeNumMembers	14579
animeScore	6.91
animeUsers	6353
animeRank	4157
animePopularity	4561
animeDescription	"Leona Ozaki joins Newport City's infamous Tank Police division. With aid of Al and her newly built mini-tank, Bonaparte, she wages war on Buaku and his cohorts, the Puma Sisters. 

(Source: ANN)"
animeRelated	['Dominion', 'New Dominion Tank Police', 'TANK S.W.A.T. 01']
animeCharacters	['Ozaki, Leona', 'Annapuma', 'Brenten, Charles', 'Unipuma', 'Buaku', 'Chief of Police', 'Mohikan', 'Megane', 'Alc Ad Solte', 'Shinpu']
animeVoices	['Tsuru, Hiromi', 'Mita, Yuuko', 'Yara, Yuusaku', 'Tomizawa, Michie', 'Yanami, Jouji', 'Nagai, Ichiro', 'Totani, Kouji', 'Chiba, Shigeru', 'Ookura, Masaaki', 'Ishimori, Takkou']
animeStaff	[['Mashimo, Kouichi', 'Director, Script'], ['Ishiyama, Takaaki', 'Director'], ['Nakazaki, Hideya', 'Theme Song Composition, Theme Song Arrangement'], ['Shirow, Masamune', 'Original Creator']]
