animeTitle	b'Tenamonya Voyagers'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1250
animeRank	
animePopularity	
animeDescription	"b""Paraila was an agent for a war organization in the space, but suddenly the supreme court of planets accused her of betrayal and she was forced to be a fugitive to escape from jail. Now she forms a team with a clueless school teacher, a bazooka lover girl and Paraila's former sidekick. They will battle against Paraila's enemies, and try to go to earth to escape from space justice. \n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Hoshikuzu no Paraila', b'Nanamiya, Wakana', b'Hanabishi, Ayako', b'Yokoyama, Tatsue']
animeVoices	[b'\nMita, Yuuko\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nTakahashi, Miki\nJapanese\n', b'\nDoi, Mika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nMizuki, Ichirou\n\nTheme Song Performance\n\n', b'\nKomuro, Hitoshi\n\nTheme Song Composition\n\n']
