animeTitle	WXIII Kidou Keisatsu Patlabor
animeType	Movie
animeNumEpisode	1
releaseDate	2002-03-30 00:00:00
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	4831
animeRank	
animePopularity	5259
animeDescription	"When the level of Labor accidents begin to escalate around Tokyo Bay, police detectives Kusumi and Hata are assigned to investigate. What they discover leads to a series of government cover-ups, conspiracy concerning a new biological weapon entitled WXIII-Wasted Thirteen and a tragic, personal connection to Hata. The only hope to stop this threat is to cooperate with the military and lead WXIII into a showdown with the Labors of Special Vehicle Division 2. 

(Source: ANN)"
animeRelated	['Kidou Keisatsu Patlabor 2 the Movie', 'Kidou Keisatsu Patlabor: Reboot']
animeCharacters	['Kusumi, Takeshi', 'Hata, Shinichiro', 'Gotou, Kiichi', 'Izumi, Noa', 'Shinohara, Asuma', 'Yamazaki, Hiromi', 'Oota, Isao', 'Shinshi, Mikiyasu', 'Kaiho', 'Ishihara, Goro']
animeVoices	['Watabiki, Katsuhiko', 'Hirata, Hiroaki', 'Oobayashi, Ryuusuke', 'Tominaga, Miina', 'Furukawa, Toshio', 'Gouri, Daisuke', 'Ikemizu, Michihiro', 'Futamata, Issei', 'Kojima, Toshihiko', 'Morita, Junpei']
animeStaff	[['Takayama, Fumihiko', 'Director, Storyboard'], ['Endou, Takuji', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Epcar, Richard', 'Script, ADR Director']]
