animeTitle	Iwata Kunchi no Obaachan
animeType	OVA
animeNumEpisode	1
releaseDate	2009-01-01 00:00:00
endDate	
animeNumMembers	159
animeScore	
animeUsers	
animeRank	16346
animePopularity	16791
animeDescription	An educational film based on a true story of an elementary school boy bringing his wheel-chair bound grandmother to school in order for her to tell the story of her living through WW2 and the atomic bomb.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
