animeTitle	b'Ganbare! Lulu Lolo'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The new anime centers around the daily life of two twin bear sisters: the orange-colored Lulu and the yellow-colored Lolo. The two take on new jobs and despite the occasional failure and tears, give their best efforts. '
animeRelated	[b'Kuma no Gakkou: Jackie to Katie', b'Ganbare! Lulu Lolo 2nd Season']
animeCharacters	[b'Lolo', b'Maggy']
animeVoices	[b'\nChikasada, Tsukino\nJapanese\n', b'\nKojima, Ichika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUmoto, Yuuji\n\nEpisode Director\n\n']
