animeTitle	Neko Hiki no Oruorane
animeType	OVA
animeNumEpisode	1
releaseDate	1992-11-26 00:00:00
endDate	
animeNumMembers	1469
animeScore	6.26
animeUsers	587
animeRank	7394
animePopularity	10221
animeDescription	"During the holiday season, a young man encounters a drunken cat belonging to an old man in an alley. The old man has trained his three cats to sing.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Protagonist', 'Iruinedo', 'Oruorane']
animeVoices	['Seki, Toshihiko', 'Hayashibara, Megumi', 'Ginga, Banjou']
animeStaff	[['Nishikubo, Mizuho', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Saitou, Kazuya', 'Animation Check'], ['Murata, Toshiharu', 'Animation Director, Character Design']]
