animeTitle	b'SF Saiyuuki Starzinger'
animeType	b'TV'
animeNumEpisode	73
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	654
animeRank	
animePopularity	
animeDescription	b'The Great Planet is dying, since its Queen is old and powerless... and the universe will perish along with it. Princess Aurora of the Moon volunteers to become the new Queen, so she must set out in a dangerous travel... along with her friends and escorts: the powerful Cyborgs Jan Kogo, Sa Jogo and Don Hakka. \n\n(Source: ANN)'
animeRelated	[b'SF Saiyuuki Starzinger (Movie)']
animeCharacters	[b'Kugo, Jan', b'Djorgo, Sir', b'Aurora, Princess', b'Don, Hakka', b'Nova', b'Ben', b'The Bat', b'Eggar', b'Dodge', b'Crystal']
animeVoices	[b'\nIshimaru, Hiroya\nJapanese\n', b'\nTomiyama, Kei\nJapanese\n', b'\nSugiyama, Kazuko\nJapanese\n', b'\nTomita, Kousei\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nNoda, Keiichi\nJapanese\n', b'\nNakanishi, Taeko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nMorishita, Kouzou\n\nEpisode Director\n\n', b'\nSasaki, Isao\n\nTheme Song Performance\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance, Inserted Song Performance\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n""]"
