animeTitle	Sakura Taisen: Le Nouveau Paris
animeType	OVA
animeNumEpisode	3
releaseDate	2004-10-20 00:00:00
endDate	2005-03-16 00:00:00
animeNumMembers	2564
animeScore	6.42
animeUsers	778
animeRank	6584
animePopularity	8805
animeDescription	"After Ichiro Ogami's departure, the girls of the Paris Flower Defense Force are left debating who will be the next captain, while a centuries-old threat surfaces. 

(Source: ANN)"
animeRelated	['Sakura Taisen: Ecole de Paris']
animeCharacters	['Fontaine, Erica', 'Bleumer, Glycine', 'Coquelicot', 'Carlini, Lobelia', 'Kitaoji, Hanabi', 'Raison, Mell', 'Caprice, Ci', 'Lilac, Isabel']
animeVoices	['Hidaka, Noriko', 'Shimazu, Saeko', 'Kozakura, Etsuko', 'Inoue, Kikuko', 'Takamori, Yoshino', 'Kojima, Sachiko', 'Kanai, Mika']
animeStaff	[['Hiroi, Ouji', 'Producer, Planning, Original Creator'], ['Yamamoto, Yuusuke', 'Director'], ['Kawasaki, Hiroyuki', 'Script'], ['Tanaka, Kouhei', 'Music']]
