animeTitle	Uchuu Kaizoku Sara Special
animeType	Special
animeNumEpisode	1
releaseDate	2010-11-26 00:00:00
endDate	
animeNumMembers	5435
animeScore	6.94
animeUsers	2357
animeRank	
animePopularity	6775
animeDescription	An exclusive sequel included in the DVD Box of Uchuu Kaizoku Sara.
animeRelated	['Uchuu Kaizoku Sara: Shimai Kishi no Eiyuu Choukyou', 'Uchuu Kaizoku Sara']
animeCharacters	['Scorpion, Sara', 'von Gielen, Cecil', 'von Gielen, Karin', 'von Bernstein, Sylia']
animeVoices	['Anzu, Hana', 'Ono, Ryouko']
animeStaff	[['Lilith Soft', 'Original Creator']]
