animeTitle	b'Kono Yo no Hate de Koi wo Utau Shoujo YU-NO'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	35192
animeRank	
animePopularity	
animeDescription	"b""Takuya Arima is a young student whose father, a historian who has conducted various researches, disappeared recently. During a summer vacation Takuya receives a peculiar package from his missing father, along with a letter containing information about the existence of various parallel worlds. At first Takuya doesn't take it seriously, but soon he realizes that he possesses a device that allows him to travel to alternate dimensions. Is his father alive, after all? If so, where is he?\n\n(Source: VNDB)"""
animeRelated	[b'Kono Yo no Hate de Koi wo Utau Shoujo Yu-no', b'YU-NO', b'Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Special', b'Kono Yo no Hate de Koi wo Utau Shoujo YU-NO Recap']
animeCharacters	[b'Arima, Takuya', b'Yu-no', b'Takeda, Eriko', b'Shimazu, Mio', b'Hatano, Kanna', b'Ichijou, Mitsuki', b'Arima, Ayumi', b'Asakura, Kaori', b'Amanda', b'Yuuki, Masakatsu']
animeVoices	[b'\nHayashi, Yuu\nJapanese\n', b'\nOzawa, Ari\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nUchida, Maaya\nJapanese\n', b'\nOonishi, Saori\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nMaeda, Rena\nJapanese\n', b'\nFujiwara, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirakawa, Tetsuo\n\nDirector, Series Composition\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nAsami, Takashi\n\nEpisode Director\n\n', b'\nYamada, Taku\n\nEpisode Director, Storyboard\n\n']
