animeTitle	Kigurumi Sentai Quiltian
animeType	OVA
animeNumEpisode	2
releaseDate	1996-07-26 00:00:00
endDate	1996-12-24 00:00:00
animeNumMembers	903
animeScore	5.19
animeUsers	266
animeRank	
animePopularity	11385
animeDescription	"Twin schoolgirls transform into their superhero aspects to save the world from an evil cabal of would-be dictators, but they can only fight for justice by having a lot of sex.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
