animeTitle	Boku, Otaryman.
animeType	OVA
animeNumEpisode	1
releaseDate	2010-01-29 00:00:00
endDate	
animeNumMembers	4065
animeScore	6.13
animeUsers	2163
animeRank	8028
animePopularity	7589
animeDescription	Boku, Otary-man (otaku + salaryman) is a autobiographical manga of the author Yoshitani, who is also working as a system engineer. It's about a slice of life of an office worker, who is a little bit otaku.
animeRelated	['Boku, Otaryman']
animeCharacters	['Yoshitani', 'Minamoto']
animeVoices	['Miyano, Mamoru', 'Kugimiya, Rie']
animeStaff	[['Ashina, Minoru', 'Director, Sound Director, Script'], ['Takehara, Minoru', 'Animation Director'], ['Yoshitani', 'Original Creator']]
