animeTitle	Hello Cocomong
animeType	TV
animeNumEpisode	13
releaseDate	2010-02-26 00:00:00
endDate	2011-02-25 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17268
animeDescription	I can dance! I can sing! So, I can speak English! Hello Cocomong is a series of musical episodes teaching kids through song and dance. A large amount of episodes are aimed to teach English to Korean speaking children, though the intention is lost with the official English dub of the show.
animeRelated	['Naengjang-go Nala Cocomong', 'Hello Cocomong 2']
animeCharacters	['Cocomong']
animeVoices	[]
animeStaff	[]
