animeTitle	Kigyou Senshi Yamazaki: Long Distance Call
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.77
animeUsers	300
animeRank	
animePopularity	11332
animeDescription	"A 42-year-old salaryman is made to serve his company beyond the grave when his brain is installed in a super-powered android body in order to carry out corporate espionage.

(Source: Anime Encyclopedia)"
animeRelated	['Kigyou Senshi Yamazaki']
animeCharacters	['Yamazaki, Takurou', 'Kashima, Tomoko', 'Mother of Tomoko', 'Satou', 'Ozaki, Misato', 'Ozaki, Kaori', 'Tashiro', 'Kirika', 'Nishikawa', 'Suzuki']
animeVoices	['Chiba, Shigeru', 'Kawakami, Tomoko', 'Mayama, Ako', 'Horikawa, Jin', 'Mizuno, Aoi', 'Kawasaki, Eriko', 'Canna, Nobutoshi', 'Katsuki, Masako', 'Sakaguchi, Tetsuo', 'Ogata, Kenichi']
animeStaff	[['Tominaga, Tsuneo', 'Director, Script'], ['Aketagawa, Susumu', 'Sound Director'], ['Midoro, Musei', 'Episode Director'], ['Mizuno, Aoi', 'Theme Song Performance']]
