animeTitle	Cowboy Bebop: Tengoku no Tobira
animeType	Movie
animeNumEpisode	1
releaseDate	2001-09-01 00:00:00
endDate	
animeNumMembers	
animeScore	8.38
animeUsers	178460
animeRank	
animePopularity	552
animeDescription	"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator.

With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized.

[Written by MAL Rewrite]"
animeRelated	['Cowboy Bebop']
animeCharacters	['Spiegel, Spike', 'Valentine, Faye', 'Wong Hau Pepelu Tivrusky IV, Edward', 'Black, Jet', 'Volaju, Vincent', 'Ovilo, Electra', 'Ein', 'Jobim', 'Laughing Bull', 'Antonio']
animeVoices	['Yamadera, Kouichi', 'Hayashibara, Megumi', 'Tada, Aoi', 'Ishizuka, Unshou', 'Isobe, Tsutomu', 'Kobayashi, Ai', 'Naka, Hiroshi', 'Koyama, Takehiro', 'Hirao, Jin']
animeStaff	[['Maseba, Yutaka', 'Producer'], ['Minami, Masahiko', 'Producer'], ['Ueda, Masuo', 'Producer'], ['Watanabe, Shinichiro', 'Director, Storyboard']]
