animeTitle	Ekimemo!
animeType	ONA
animeNumEpisode	3
releaseDate	2018-01-31 00:00:00
endDate	2018-02-14 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14718
animeDescription	"The game centers around players traveling to different train stations in Japan and collecting the anthropomorphized representations of different stations and railway lines. The anime is set in Yokote City in Akita Prefecture, and will center around the characters Miroku, Mero, and Runa.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
