animeTitle	Eikou e no Spur: Igaya Chiharu Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14717
animeDescription	"A biography of Chiharu Igaya, who won a silver medal in men's slalom in Cortina d'Ampezzo Olympics in 1956, and became the first Japanese Winter Olympics medalist.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Chiharu, Igaya']
animeVoices	['Okamura, Akemi']
animeStaff	[['Okuwaki, Masaharu', 'Director'], ['Watanabe, Toshiyuki', 'Music'], ['Nakamura, Mitsuki', 'Art Director'], ['Wada, Noboru', 'Original Creator']]
