animeTitle	Tatakau Shisho: The Book of Bantorra
animeType	TV
animeNumEpisode	27
releaseDate	2009-10-02 00:00:00
endDate	2010-04-02 00:00:00
animeNumMembers	
animeScore	7.22
animeUsers	14166
animeRank	
animePopularity	2305
animeDescription	In a world where dead people turn into books and are stored in the Bantorra Library where anyone who reads a book can learn their past, Bantorra Library is maintained by Armed Librarians who wield psychic powers and their enemy is a religious society known as Sindeki Kyoudan. 
animeRelated	['Tatakau Shisho Series']
animeCharacters	['Meseta, Hamyuts', 'Maruchie, Noloty', 'Balory, Mattalast', 'Macmani, Volken', 'Finder, Mirepoch', 'Tonies, Colio', 'Byacornise, Shiron', 'Kitty, Ireia', 'Bishilie, Enrique', 'Coozancoona, Ruruta']
animeVoices	['Park, Romi', 'Tomatsu, Haruka', 'Ookawa, Tooru', 'Nakamura, Yuuichi', 'Sawashiro, Miyuki', 'Irino, Miyu', 'Kawasumi, Ayako', 'Takeguchi, Akiko', 'Nojima, Hirofumi', 'Sakurai, Takahiro']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Shinohara, Toshiya', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Tsuda, Naokatsu', 'Episode Director']]
